Questions,Answers
top vegetarian restaurants trichy? ,"Sri Gowri Krishnaa Restaurant-Location Thillai Nagar, Trichy 
Saivam Dimora North Indian Restaurants-Location W B Road, Tiruchirappalli East, Trichy 
Aswins Sweets & Snacks	50A, Sathanur Main Rd, Sundar Nagar, K K Nagar, Tiruchirappalli, Tamil Nadu 620021
Amma Unavagam	Salai Rd, Sakthi Mariamman Nagar, Woraiyur, Tiruchirappalli, Tamil Nadu 620003
Sri Ranga Tiffin Center	Sannathi St, Srirangam, Thiruvanaikoil, Tiruchirappalli, Tamil Nadu 620005
Varagoor sri venkatesa catering services	C 4 Ragavendra avenue, Raghavendrapuram, Tamil Nadu 620006
Sri annapoorani tiffen center	366, Big Bazaar St, Tharanallur, Tiruchirappalli, Tamil Nadu 620008
Sri Venkatesa Bhavan	SOUTH GATE, 75, Ammamandapam Rd, Srirangam, Tamil Nadu 620006
Hotel Arangan's vegeterian	AA 6/1 Housing unit Salai Road, Woraiyur Aiyshwariya Hospital Back Side, Tamil Nadu 620003
Govindhan Tiffin Kadai	24, Sannathi St, Srirangam, Thiruvanaikoil, Tiruchirappalli, Tamil Nadu 620005
Sri Santhi Bavan	5th Pragaram, Srirangam, Thiruvanaikoil, Tiruchirappalli, Tamil Nadu 620005
Sri Raghavendra Annapoorni Homely Mess	6, Raghavendra Puram Rd, near shri raghavendra swamy mutt, Sriramapuram, Tiruchirappalli, Tamil Nadu 620006"
top Non vegetarian restaurants trichy? ,"KMS Hakkim Kalyana Biriyani Restaurant	No-5, Shastri Rd, Near Passport Office, North East Extension, Thillai Nagar, Tiruchirappalli, Tamil Nadu 620017
IRCTC Cell Kitchen	Bharathiyar Salai, Sangillyandapuram, Tiruchirappalli, Tamil Nadu 620001
Arcot Naanavazhi Rowthar Briyani (Biryani Shop / Best Biriyani /Non Veg Hotel) in Trichy	No.86n Bank Colony, Ganesh Nagar, K K Nagar, Tiruchirappalli, Tamil Nadu 620021
Muniyandy Vilas Veg & Non Veg Hotel	Hanifa Colony, Sangillyandapuram, Tiruchirappalli, Tamil Nadu 620020
Birbal Biriyani Mandi ( Near LA cinemas)	Near LA Cinemas (Old Maris Theater, Fort Station Rd, Tiruchirappalli, Tamil Nadu 620002
Hotel Rajeswari	Thanjavur Rd, Ariyamangalam Area, Tiruchirappalli, Tamil Nadu 620010
Me (Meat And Eat )	295, Big Bazaar St, Near Gandhi Market Arch, Tiruchirappalli, Tamil Nadu 620008
Pattukkottai Kamatchi Mess - Chettinad Restaurant	Hotel Sevenna, 5, Royal Rd, Cantonment, Tiruchirappalli, Tamil Nadu 620001
Shri Sangeethas Veg. Restaurant	RPF6+WHV Service Road, No-10, Chennai - Trichy Hwy, near Sanjeevi Nagar
Shri Sangeethas	45, Karur Bypass Rd, opp. Kalaignar"
clothing-altering shops Locations in Trichy?,"Priya Ladies Tailoring & Training,Mel Valadi, Valadi, Tiruchirappalli, Tamil Nadu 621601
Vijay Tailors	Shop no. 18, Palakkarai Street, Woraiyur, Tiruchirappalli, Tamil Nadu 620003
Sri Ladies Tailor	Shop No, 32, Nelson Rd, Srirangam, Thiruvanaikoil, Tiruchirappalli, Tamil Nadu 620005
Nithyaa's Fashion Ladies Tailoring	Marudhanayagam Pillai Complex, L.I.C. Colony, near SBI Bank, Tiruchirappalli, Tamil Nadu 620021
Priya Ladies Tailoring	Kulumani Main Road, Kulumani, Tiruchirappalli, Tamil Nadu 620103
New Fashion Ladies Tailors	1/485, Vayalur Road, Somarasempettai, Tiruchirappalli, Tamil Nadu 620102
Lakshana Fashion Destination (ladies tailoring, bridal blouse designers in trichy, tailoring institute in trichy)	G3, Moorthy Square, West End Stop, Vayalur Rd, Puthur, Tiruchirappalli, Tamil Nadu 620017
S.R.M.Ladies & Gents Tailor	Allithurai, Tiruchirappalli, Tamil Nadu 620102
Shanthi Tailoring	Chennai Main Road, Tiruchirappalli, Tamil Nadu 621216
Dress Winner Tailors	7, Mandhai, Tennur Main Road, Thennur, Tiruchirappalli, Tamil Nadu 620017"
Children's hospitals in Tiruchirappalli?,"Child Health Clinic	8th Cross Rd E, Thillai Nagar East, West Thillai Nagar, Thillai Nagar, Tiruchirappalli, Tamil Nadu 620017
L.G. Well Baby Clinic	1st St, Sakthi Nagar, Pappakurichi Kattur, Tiruchirappalli, Tamil Nadu 620019
DR.S.VEERAMANICKAM CHILD CARE CLINIC AND VACCINATION CENTRE	4, DR. V.PARTHASARATHY, 47, 5th St, Cholan Nagar, Pappakurichi Kattur, Tiruchirappalli, Tamil Nadu 620019
Wonder Kids Clinic	Bus stop, Srinivasa Nagar, Vayalur Rd, near HDFC Bank, Tiruchirappalli, Tamil Nadu 620017
KSK Baby Clinic	Navaneethas Vela Apartment, U K T Malai, Vayalur Rd, Trichy~620102, Tamil Nadu 620102
Child Jesus Hospital	RM4P+2JR, Promenade Road, Opp TABS Complex
Vihas Hospital	Bishop Rd
Goverment Hospital Child Speciality Centre	RM6H+MHJ, Puthur High Rd
Akshaya Hospital	61, Sundarraj Nagar
Visalambal Hospital	RP74+FH3"
PLACES OF INTEREST FOR TOURISM in Trichy?,"1 ROCKFORT MONUMENT AND TEMPLE IN TIRUCHIRAPPALLI CITY Locations-Tiruchirapalli Rock Fort, NSB Rd, near Krishna Readymade hall, Singarathope, Devathanam, Tiruchirappalli, Tamil Nadu 620002
2 SRI RANGANATHA TEMPLE AT SRIRANGAM Location -Srirangam, Tiruchirappalli, Tamil Nadu 620006
3 SRI PUNDARIKAKSHA TEMPLE AT THIRUVELLARAI NEAR THURAIYUR location- Sannathi street, Agraharam, Thillampatti, Thiruvellarai, Tamil Nadu 621009
4 UTHAMAR KOIL AT PICHANDAR KOIL NEAR SR RANGAM Location-Manachanallur, Trichy - 621005
5 MUKKOMBU DAM (UPPER ANAICUT) Location-Mukkombu, Trichy
6 KALLANAI DAM (GRAND ANAICUT) Location -	Thanjavur district, Tamil Nadu, India
7 MARIAMMAN TEMPLE AT SAMAYAPURAM Location -Samayapuram, Trichy
8 MURUGAN TEMPLE AT VAYALUR IN TIRUCHIRAPPALLI Location-	Vayalur, Tiruchirapalli 
9 THIRUVANAIKOIL NEAR SRIRANGAM 
10 NACHIYARKOIL AT WORAIYUR IN TIRUCHIRAPPALLI 
11 ST. LOURDES CHURCH IN TIRUCHIRAPPALLI 
12 HAZRAT NATHAR SHAH DHARGA IN TIRUCHIRAPPALLI "
Boys and Mens dress or cloths shop in Trichy?,"Young N Style mens wear F1, Surya Complex, Near Holy Cross College, Singarathoppu Bus Stop, Madurai Road, Tiruchirappalli, Tamil Nadu 620008
Royal Mens Wear	34, Super Bazaar, Singarathope, Devathanam, Tiruchirappalli, Tamil Nadu 620008
PROFILES MENS WEAR	No:2 PRINCE BAZZAR GMAK BLOCK NSB LINK ROAD, behind MANGAL & MANGAL, Tiruchirappalli, Tamil Nadu 620002
BOB Men's Wear	No-10,11, Bellarmine Complex, College Rd, Tiruchirappalli, Tamil Nadu 620002
First look menswear	Sundar Nagar 4th Cross St, Sundar Nagar, K K Nagar, Tiruchirappalli, Tamil Nadu 620021
Aala Menswear	Door No. 45, Super Bazaar Corner, Annai Sivakami Complex, Singarathope, Tharanallur, Tiruchirappalli, Tamil Nadu 620008
Saran Mens Wear	42, Super Bazar Corner, Singarathope, Tiruchirappalli, Tamil Nadu 620008
Play 4 mens Garment	Ground Floor, Fathima Complex, No. 41 R, Near, Super Bazaar, Singarathope, Tiruchirappalli, Tamil Nadu 620008
Araa Outfits Mens Fashion wardrobe	8, 3rd Main Rd, Jaya Nagar Extension, IOB Nagar, Karumandapam, Tiruchirappalli, Tamil Nadu 620001
APT Menz Apparel	18, Nawab Walaja Complex, NSB Road, Tiruchirappalli, Tamil Nadu 620002"
Womens Dress Shops in Trichy?,"Keerthi�s women�s wear	58, 4th Cross Rd, Nehru Nagar, IOB Nagar, Karumandapam, Tiruchirappalli, Tamil Nadu 620001
Blossom Garments - Ladies Nighties & Innerwears	13 B, E Andar St, Devathanam, Tiruchirappalli, Tamil Nadu 620002
Women's World Ladies Tailors (?????? ???????)	Gandhi St, Subramaniyapuram, Sangillyandapuram, Tiruchirappalli, Tamil Nadu 620020
Dadra K Thulasiram	Ammamandapam Rd, Srirangam, Tiruchirappalli, Tamil Nadu 620006
Trend N New	519, Periya kadaiveethi, Singarathope, Devathanam, Tiruchirappalli, Tamil Nadu 620002
Flora Kollektions	Shop No. 4.1514, Reynolds Road, Cantonment, Tiruchirappalli, Tamil Nadu 620001
Vivaan Fashion Boutique	Shop No: A-9, #81, Adhavaa Commercial Complex, Ammamandapam Rd, Srirangam, Tiruchirappalli, Tamil Nadu 620006
A.R. Burka & Sarees	Alwarthoppu, Tiruchirappalli, Tamil Nadu 620017
My Wadrobe	Kaja Nagar, Edamalaipatti Pudur, Tamil Nadu 620023
Jay Laxmi Sarees	49,singar plaza complex, singarathope, near GVN Hospital, 620008"
Fun Activities & Games in Tiruchirappalli?,"
TipNTop Cue Sports,Barathidasan Salai Jeyam Fortune Square 2nd floor, Tiruchirappalli 620017 
Zapp Adventure Sports  location T.S No. 2627, A.I.B.E.A Nagar, Tiruchirappalli 620005 India
Bouncy House for  kids 123 Bharathiar Salai, Tiruchirappalli 620001 India"
Can you suggest a family-friendly game center or entertainment spot in Trichy?,Fun Land and ZAAP has a gaming zone suitable for families with a variety of games and activities.
Are there any local joints known for their unique burger shops in Trichy?,Check out Burger Junction near the Central Bus Stand for a variety of local twists on classic burgers.
"
Can you recommend a place in Trichy that serves authentic South Indian street food?","Head to Sree Annapoorna Sree Gowrishankar for a delightful experience of South Indian street food, including chaat items."
What are some local sweets or desserts unique to Trichy that I should try?,"Indulge in the famous Trichy Halwa, available at popular sweet shops like Adyar Ananda Bhavan and Shri Sangeetas.and special Jigarthanda at Famous Jigarthanda Stall."
Bike Show Rooms in Trichy?,"Krishnaa Bajaj @ Dindugal Road
Location
3, Dindugal road, Near Hotel Sangeethas, Central bus - stand , Trichy, Tiruchirappalli, Tamil nadu, 620001,
Vaibav Bajaj @ Thanjavur
Location
Old Chennai Trunk Road, Tiruchirappalli, Tamil nadu, 621703
,S S Yamaha
Location
No. 30 (M1-3, C1, 2, 6, 7) Royal City, Karur Bye Pass Road, Teppakulam Post, Trichy Tiruchirappalli, Tamil nadu, 620002,Jai Shakti Bajaj @ Tiruvanaikoil
Location
1352/1352A, Vijay Towers, Tricny Main RoadThuraiyur, Tiruchirappalli, Tamil nadu, 621008
,Vaibav Bajaj @ Mannargudi
Location
Thanjavur Bye Pass Road, Vin Nagar, Kattur (Near Chithra Nagar)Thiruverumbur, Tiruchirappalli, Tamil nadu, 620019,KTM@DINDIGUL
Location
SRI PADMESHRAM COMPLEX, PERIYAKULAM ROAM, P.K PATTI, ALLINGARAM, THENI, Tiruchirappalli, Tamil nadu, 621302,VELA AUTOMOBILE PRIVATE LIMITED
Location
20, C113, 5th Cross Rd E, Thillai Nagar East, West Thillai Nagar, , Tiruchirappalli, Tamil nadu, 620018"
Can you recommend a shop in Trichy that offers both bike spare parts and car accessories?,"Wheels and Gears"""" on East Boulevard Road is a one-stop-shop for bike spare parts and a variety of car accessories."
What is the name of the ancient dam located on the Kaveri River near,"""The ancient dam located on the Kaveri River near Trichy is commonly known as """"Kallanai Dam"""
